parsed.validity.start,parsed.validity.end,parsed.fingerprint_sha257

2023-01-07T14:44:35Z,2023-04-07T14:44:34Z,a325bfe236cc8e29da5791e0218eae09997542e05f9c5000bd15d4812d32350e

2022-12-10T23:40:20Z,2023-03-10T23:40:19Z,bcba014f49dccb8bebaad686d35d903e7d09b8295e1f2916491652f6d9f02112

2023-01-07T09:54:42Z,2023-04-07T09:54:41Z,00740b9024548f43b05473ef1dbefb9124dc04f6a403c33f5652ae2b5a7d722c

2023-01-06T11:29:27Z,2023-04-06T11:29:26Z,7f427011eaca85e8d8d46f431182ed228fd651a35695cad604f3420317166a26

2023-02-07T08:13:53Z,2023-05-08T08:13:52Z,38c5db9cd23e51972253b9be67d5bdde547f224a2450cf04889acde4e33cfa12

2022-04-15T00:00:00Z,2023-04-15T23:59:59Z,b8148af4858b4d1dc1c8097888d348bb36bdea5916bb8e9f34738f017cb983dc

2022-11-30T23:04:43Z,2023-02-28T23:04:42Z,05e5d8dded5d0193b4b241a69679c767fa7f3837793946d26cb47d1a7ff2f527

2022-06-01T00:00:00Z,2023-06-30T23:59:59Z,9a6f61da57c6917a3f0cdf2d551c4794c63dd86618f430c4e3249680d1068fd7

2022-12-10T23:40:20Z,2023-03-10T23:40:19Z,acbddad13de0b4867908c46fb07e8d36dbde00bf3349a0a1de72c4bf0a783daf

2023-02-08T23:40:33Z,2023-05-09T23:40:32Z,e330e2c9461e9b9ffcf277d72aa2f4162e8960fcee33312e685b2f5faecb5b45

2022-04-15T00:00:00Z,2023-04-15T23:59:59Z,3eb6c09410327b865ce8a66ef06112bf1033db354385f85a06a5216f3f54a9be

2022-04-14T00:00:00Z,2023-04-14T23:59:59Z,dca52581c08cdc6747754ab1af78fd2fb544af4a5bc21ede9db82bff7b27abb7

2022-12-09T00:00:00Z,2023-06-16T23:59:59Z,00217338855828ce98d44145311e9d0162850e09dcd74727f586a996f60c1fb0

2022-12-09T09:35:49Z,2023-03-09T09:35:48Z,6835223e00dc27eea5550bafa44dcb39c0ba3a3b7512be223a021e136ccf7c83

2022-12-23T02:54:21Z,2023-03-23T02:54:20Z,a4be032dbdbe16e4c4dd9deb34747726e0f2187d04f5eb65c13242eaeec7350e

2022-12-07T12:48:29Z,2023-03-07T12:48:28Z,b0808624c1fb9ba27a09b70faaf08c42290f94cdf1732623e024d94bfb18f2b5

2022-12-09T00:00:00Z,2023-06-16T23:59:59Z,df54e16f3e5a9adffcf0e0ee214a1a1311779b190d2afb6421f48250909973a2

2022-12-17T15:52:12Z,2023-03-17T15:52:11Z,5ecd6f38656afd47f4903067cf8f79881301769d87dd810a336c1afd288be756

2023-02-05T01:41:48Z,2023-05-06T01:41:47Z,d4bde7a9b9c6809da7197019d994b8fab666d46f0b83dfd37289706d75ee1061

2022-05-18T00:00:00Z,2023-06-16T23:59:59Z,63697e81d7e51f7dddd06a49548cd8af1967d514bf0e89449d5160ae173290f2

2022-12-09T00:00:00Z,2023-06-16T23:59:59Z,ab02d90d6cab18c66174b0c8f66a9c680bd3acaa06702972367da87239694ed5

2023-01-07T06:04:20Z,2023-04-07T06:04:19Z,7a443faa6cfa6c13491f77e4657e298761a98eba75df00b5a6527024ddc4f1a6

2023-02-09T04:42:36Z,2023-05-10T04:42:35Z,ffdfb3cd44b5361244b0f6fd38d9f3bf4d65642fa9552dcb942a9add78fa97a3

2023-01-25T10:02:20Z,2023-04-25T10:02:19Z,f51d89d79031eb29544e4878471fb93097269ded5717d73482e2b948c2d073ab

2022-11-14T15:14:17Z,2023-02-12T15:14:16Z,1c501611c5ba8dec79211c6e7f4da5f597512a1fe1d78c884c96b051ea770377

2023-01-16T09:14:09Z,2023-04-16T09:14:08Z,a58139cd8e2fc777d3c6a02e45f8810c408b4236d78debf6cd01df4b4d053ae5

2022-12-08T00:35:25Z,2023-03-08T00:35:24Z,bc75dda8e22d8348c4047051f8aaa97a080b2b4390a92e629556b9bf0ea7129c

2022-12-03T21:35:06Z,2023-03-03T21:35:05Z,81ec682e0255c373095256d055010cb170246f7b1715fd8a5bf068e455755571

2022-12-08T00:35:25Z,2023-03-08T00:35:24Z,a9fc11773e4f7144bcd3bb6f6eea06691564cf4ab79b3e68b5b6db570f8ef991

2022-05-18T00:00:00Z,2023-06-16T23:59:59Z,913ebb134b31cc76a0e8dba843b032fc335b6cad73efac5aca100cc4b94e96af

2022-05-18T00:00:00Z,2023-06-16T23:59:59Z,7b04aa192330e00e311770a7fcabad9da8b7df247c5a30c872a26e89bd5cd8cf

2022-04-14T00:00:00Z,2023-04-14T23:59:59Z,c5d41cdecff4164c9623428f7a38a19fbce955bbc380d33984f508528df79964

2022-12-09T00:00:00Z,2023-06-16T23:59:59Z,edd6ccec06436e8486558fa073873f5d469e22f0b71ba140a1d1afe09c8701d6

2022-11-13T06:14:04Z,2023-02-11T06:14:03Z,b68d6cd071aa4a20a1bc5dd451dcd0ba0b83767600829db8db81169c4ad2b3ee

2022-05-18T00:00:00Z,2023-06-16T23:59:59Z,56170f6279d34df02b86077e0217004949ada987e7e04c8263643ceb07a43917

2022-12-09T00:00:00Z,2023-06-16T23:59:59Z,b2b916b25881926c54494aea3fc64a6ae41accaee512a13a5e8034ca46a9cb44

2022-11-21T12:15:08Z,2023-02-19T12:15:07Z,50938aac0205544a58474f8342db9308469dae64157daf1ca07a93bc08cc3677

2022-06-01T00:00:00Z,2023-06-30T23:59:59Z,9f7c195b36730f4ecf2b8c995841ae453ee74a74ae88b4b15547c2e161902be3

2022-11-22T21:15:28Z,2023-02-20T21:15:27Z,a7dc50496cb87a17c90dd8998d86fa035965060e9b76a6c8b38647b94e5d3caf

2022-06-01T00:00:00Z,2023-06-30T23:59:59Z,a1668ddbfe80ad72634c53b66278ec5146156dc0a7a3aa9f873e855fda17fd7c

2022-12-09T00:00:00Z,2023-06-30T23:59:59Z,e0497c2618680aa1a443b8b2a107504db355621389839a8e890c2f6d3759b979

2023-01-22T20:26:00Z,2023-04-22T20:25:59Z,2d5b82233667e9668fb465ccd7252cd20dbfe6ff9ab0edb2d7f5d219ebf2f66d

2022-11-20T03:15:00Z,2023-02-18T03:14:59Z,3222b6d44588a28544f07b79b148b77a2dd3e46563bcb0612d160e28b1207c48

2022-12-16T21:31:39Z,2023-03-16T21:31:38Z,2cf0d3914f6f264e063b33ef4f870861ebc8271ba5c59e2dd00f6c84193e23c4

2022-12-10T18:38:41Z,2023-03-10T18:38:40Z,e418882ab93334204855af6863319de17a2a15c1794f0dfb80feb9177696aef6

2023-01-15T11:11:21Z,2023-04-15T11:11:20Z,87224cd286a2200b0f25a8161cea431c181d0cf1cf38d0026f559f026e55d2d4

2023-02-06T10:42:03Z,2023-05-07T10:42:02Z,72a29bd6c129cb79f5059a9a24e14adb90dcd8fccc8f94d5cee20baafc450bb0

2022-12-17T00:00:03Z,2023-03-17T00:00:02Z,bfd4c7a6fca182dc2657884cdeefc1c48641b62511a48127b4457974dddbca3b

2023-01-23T16:16:10Z,2023-04-23T16:16:09Z,c5895fc9b518d3426593a7583eee9e164766258310324cc76467b74ea10fc86c

2022-12-13T12:51:47Z,2023-03-13T12:51:46Z,7fdd44f40cb83140c9146344025728e95cabc3ae4b4b7f223e8df75f25dba9b4

2022-06-01T00:00:00Z,2023-06-30T23:59:59Z,048a3ef80dbfb57580a3f2c64ce9df63b1e3a9faaac803811ea0e4a2886c17a9

